,PERSON_ID,PLAYER_NAME,SALARY
102,1629076,Tyler Cook,
103,1630536,Sharife Cooper,
104,202326,DeMarcus Cousins,1290481
105,203496,Robert Covington,12975471
106,1628470,Torrey Craig,4878049
107,203109,Jae Crowder,9720900
108,1629633,Jarrett Culver,6395160
109,1630595,Cade Cunningham,10050120
110,203552,Seth Curry,8186047
111,201939,Stephen Curry,45780966
112,203076,Anthony Davis,35361360
113,202334,Ed Davis,2641691
114,1629056,Terence Davis,4000000
115,201942,DeMar DeRozan,26000000
116,203473,Dewayne Dedmon,5256308
117,1628978,Donte DiVincenzo,4675830
118,1628977,Hamidou Diallo,5200000
119,203476,Gorgui Dieng,4000000
120,203915,Spencer Dinwiddie,17142857
121,1629029,Luka Doncic,10174391
122,1629652,Luguentz Dort,1782621
123,1630245,Ayo Dosunmu,925258
124,201609,Goran Dragic,20168742
125,203083,Andre Drummond,2401537
126,1630537,Chris Duarte,3749520
127,1630561,David Duke,
128,201142,Kevin Durant,40918900
129,1630162,Anthony Edwards,10245480
130,1629035,Carsen Edwards,
131,1630556,Kessler Edwards,
132,1629604,CJ Elleby,1517981
133,201961,Wayne Ellington,2641691
134,203954,Joel Embiid,31579390
135,202324,Derrick Favors,9720900
136,1628981,Bruno Fernando,1782621
137,1627827,Dorian Finney-Smith,4000000
138,1630238,Malik Fitts,85578
139,1630201,Malachi Flynn,2048040
140,1627854,Bryn Forbes,
141,1630235,Trent Forrest,
142,203095,Evan Fournier,18139535
143,1628368,De'Aaron Fox,28103550
144,1628982,Melvin Frazier,
145,1628365,Markelle Fultz,16500000
146,1629117,Wenyen Gabriel,
147,1629655,Daniel Gafford,1782621
148,201568,Danilo Gallinari,20475000
149,1629636,Darius Garland,7040880
150,1630586,Usman Garuba,2353320
151,1630568,Luka Garza,925258
152,200752,Rudy Gay,5890000
153,202331,Paul George,39344970
154,201959,Taj Gibson,4910000
155,1630581,Josh Giddey,5988000
156,1628983,Shai Gilgeous-Alexander,5495532
157,1630264,Anthony Gill,1517981
158,203497,Rudy Gobert,35344828
159,1629164,Brandon Goodwin,
160,203932,Aaron Gordon,16409091
161,201569,Eric Gordon,18218818
162,1628984,Devonte' Graham,11000000
163,203924,Jerami Grant,20000000
164,201980,Danny Green,10000000
165,203110,Draymond Green,24026712
166,203210,JaMychal Green,8292683
